"Customer Segment Conditions","Customer Segment Conditions"
"External Content","External Content"
"URL Content","URL Content"
"Parse Template File","Parse Template File"
Email,Email
"Sub. First Name","Sub. First Name"
"Sub. Last Name","Sub. Last Name"
"Order Amount","Order Amount"
Order,Order
Customer,Customer
Subscriber,Subscriber
"Campaign Information","Campaign Information"
"Internal Name","Internal Name"
"This name will be used for better identifying the campaign. Is only used internally and won't be displayed to subscribers","This name will be used for better identifying the campaign. Is only used internally and won't be displayed to subscribers"
Sender,Sender
"The campaign sender. When subscribers receive a campaign, this is the 'From' value","The campaign sender. When subscribers receive a campaign, this is the 'From' value"
"The campaign email subject that will be sent to subscribers","The campaign email subject that will be sent to subscribers"
"Is this a Draft?","Is this a Draft?"
"Yes - Do not schedule or run this campaign","Yes - Do not schedule or run this campaign"
"No - Go ahead, proceed as expected","No - Go ahead, proceed as expected"
"The option to mark a campaign as draft will be removed once the campaign is queued","The option to mark a campaign as draft will be removed once the campaign is queued"
"Tag this campaign with these tags","Tag this campaign with these tags"
"Only send this campaign to subscribers that are in any of the selected segments above","Only send this campaign to subscribers that are in any of the selected segments above"
"-- Ignore Field --","-- Ignore Field --"
"Only send this campaign to subscribers that are in any of the selected Store Views above","Only send this campaign to subscribers that are in any of the selected Store Views above"
"If you want to track stats/conversions in this campaigns","If you want to track stats/conversions in this campaigns"
"If customers should be logged in automatically in your store when they click in a campaign link","If customers should be logged in automatically in your store when they click in a campaign link"
"Use From Message Template","Use From Message Template"
"Design Template","Design Template"
"Override the message template for this message.","Override the message template for this message."
"If this campaign should be sent to previous customers, instead of to current subscribers.","If this campaign should be sent to previous customers, instead of to current subscribers."
"Max Messages to Send","Max Messages to Send"
"The maximum number of emails to send for this campaign","The maximum number of emails to send for this campaign"
"Max Messages to Send Per Hour","Max Messages to Send Per Hour"
"If you don not want to send campaign messages ASAP, you can define how many messages can be sent per hour. Please note that customer send time will override this option. 0 for unlimited","If you don not want to send campaign messages ASAP, you can define how many messages can be sent per hour. Please note that customer send time will override this option. 0 for unlimited"
"Send At","Send At"
"Is Active?","Is Active?"
Url,Url
Clicks,Clicks
"Messages Queue","Messages Queue"
"Are you sure?","Are you sure?"
"Sending Options","Sending Options"
"This campaign has already run for %1 time(s)","This campaign has already run for %1 time(s)"
"Recurring Profile","Recurring Profile"
"Dynamic Deployment?","Dynamic Deployment?"
"Use this option if you want to maximize conversion rates. This will send messages at hours that users are most likely to view them. There is a span of up to 24 hours with this option enabled for message delivery","Use this option if you want to maximize conversion rates. This will send messages at hours that users are most likely to view them. There is a span of up to 24 hours with this option enabled for message delivery"
"Recurring Campaign?","Recurring Campaign?"
"Send Date","Send Date"
"Start queuing this message at the indicated time. Please note, a campaign will not be queued if the status is 'Draft'","Start queuing this message at the indicated time. Please note, a campaign will not be queued if the status is 'Draft'"
"In Which days?","In Which days?"
"Unique Recipient?","Unique Recipient?"
"Use this option if you do not want this campaign to be sent to the same recipient more than once. Tip: useful to use in conjunction with segments. That means, no matter how many times this recurring campaign runs, no subscriber will receive it twice.","Use this option if you do not want this campaign to be sent to the same recipient more than once. Tip: useful to use in conjunction with segments. That means, no matter how many times this recurring campaign runs, no subscriber will receive it twice."
"In Which day?","In Which day?"
"In which day?","In which day?"
"In which month?","In which month?"
"Run around","Run around"
"Please choose the start hour for this profile","Please choose the start hour for this profile"
"First Run","First Run"
"First time this campaign should run","First time this campaign should run"
"End Date","End Date"
"How long should this campaign run.","How long should this campaign run."
"Running times","Running times"
"""How many times should this campaign run. "" .","""How many times should this campaign run. "" ."
"Stop sending when","Stop sending when"
"We reach ""End Date"" AND ""Running Times""","We reach ""End Date"" AND ""Running Times"""
"We reach ""End Date""","We reach ""End Date"""
"We reach ""Running Times""","We reach ""Running Times"""
"We reach ""End Date"" OR ""Running Times""","We reach ""End Date"" OR ""Running Times"""
"Yes - Leave it alone","Yes - Leave it alone"
"No - Go ahead, proceed as usual","No - Go ahead, proceed as usual"
"The option to mark a campaign as draft will be removed when the campaign is queued","The option to mark a campaign as draft will be removed when the campaign is queued"
Message,Message
"The maximum number of SMS to send for this campaign","The maximum number of SMS to send for this campaign"
"Max Messages/Hour","Max Messages/Hour"
"Child Campaigns","Child Campaigns"
"Follow Ups Queue","Follow Ups Queue"
"Follow Ups Sent","Follow Ups Sent"
Links,Links
"""Messages Errors "" .","""Messages Errors "" ."
"Messages Archive","Messages Archive"
"Next Run","Next Run"
Recurring,Recurring
Queuing,Queuing
Coupons,Coupons
"Promotion Rule","Promotion Rule"
"Coupon Code","Coupon Code"
Used,Used
"Subscriber Email","Subscriber Email"
"Created at","Created at"
"Used at","Used at"
N/A,N/A
Errors,Errors
"Campaign Errors","Campaign Errors"
"Error Code","Error Code"
"Error Message","Error Message"
"Try Again","Try Again"
Events,Events
"Back to Autoresponders","Back to Autoresponders"
"View Campaigns","View Campaigns"
"Autoresponder Campaigns","Autoresponder Campaigns"
"View Queue","View Queue"
"Event Type","Event Type"
Template,Template
Recipient,Recipient
Views,Views
Error,Error
"Next Action","Next Action"
Autoresponder,Autoresponder
"Execute at","Execute at"
"Extra Fields","Extra Fields"
"New Extra Field","New Extra Field"
"Save Extra Field","Save Extra Field"
"Delete Extra Field","Delete Extra Field"
"Edit Extra Field '%1'","Edit Extra Field '%1'"
"Block Information","Block Information"
"General Information","General Information"
Type,Type
Text,Text
"Multiple Options","Multiple Options"
Number,Number
"Field Options","Field Options"
"One Per Line","One Per Line"
"Default Value","Default Value"
"Extra Fields Information","Extra Fields Information"
"Follow Ups","Follow Ups"
"Delete Followup","Delete Followup"
"Send Test A","Send Test A"
"Send Test B","Send Test B"
"Edit Followup '%1'","Edit Followup '%1'"
"New Followup","New Followup"
"the {{subject}} tag will be replaced by the original campaign subject","the {{subject}} tag will be replaced by the original campaign subject"
"Send to subscribers that...","Send to subscribers that..."
"Send after X days","Send after X days"
"After the campaign deployment date (' . . ')","After the campaign deployment date (' . . ')"
"Follow Up Information","Follow Up Information"
Goals,Goals
"Refresh Current Values","Refresh Current Values"
"Select Goal to Add","Select Goal to Add"
"Save Goal","Save Goal"
"Delete Goal","Delete Goal"
"Edit Goal '%1'","Edit Goal '%1'"
"New Goal","New Goal"
"Goal Type","Goal Type"
Variation,Variation
Description,Description
"Start Date","Start Date"
"Goals Information","Goals Information"
"Type Name","Type Name"
"Goal Name","Goal Name"
Goal,Goal
"Original Value","Original Value"
"Current Value","Current Value"
"Expected Value","Expected Value"
"Date Start","Date Start"
"Date End","Date End"
Result,Result
Accomplished,Accomplished
Failed,Failed
"Floating Windows","Floating Windows"
"Add Floating Window","Add Floating Window"
"'Save ' .","'Save ' ."
"'Delete ' .","'Delete ' ."
"Edit %1 '%1'","Edit %1 '%1'"
"New %1","New %1"
General,General
". ' Content'",". ' Content'"
" Identifier"," Identifier"
"You can use this field to insert multiple Inline Info Blocks in the same place. Just give them the same identifier","You can use this field to insert multiple Inline Info Blocks in the same place. Just give them the same identifier"
". "" Width""",". "" Width"""
". "" Height""",". "" Height"""
"Display To","Display To"
"Customers & Guests","Customers & Guests"
Customers,Customers
Guests,Guests
"Try to avoid Subscribers","Try to avoid Subscribers"
"Try to avoid displaying to a customer who is already a newsletter subscriber.","Try to avoid displaying to a customer who is already a newsletter subscriber."
"When to Display","When to Display"
"Show at most one time per session","Show at most one time per session"
"Possibly on every page view","Possibly on every page view"
"No more than once in lifetime","No more than once in lifetime"
"No more than once a week","No more than once a week"
"No more than once every two weeks","No more than once every two weeks"
"No more than once a month","No more than once a month"
Position,Position
Top,Top
Bottom,Bottom
"Top Left","Top Left"
"Top Center","Top Center"
"Top Right","Top Right"
"Center Left","Center Left"
Center,Center
"Center Right","Center Right"
"Bottom Left","Bottom Left"
"Bottom Center","Bottom Center"
"Bottom Right","Bottom Right"
"Display Effect","Display Effect"
"Fade In","Fade In"
"Fade In Down","Fade In Down"
"Fade In Left","Fade In Left"
"Fade In Right","Fade In Right"
"Fade In Up","Fade In Up"
"Slide In Down","Slide In Down"
"Slide In Left","Slide In Left"
"Slide In Right","Slide In Right"
"Slide In Up","Slide In Up"
TAAADAAA!!!!,TAAADAAA!!!!
Flash,Flash
lightSpeedIn,lightSpeedIn
"Display On...","Display On..."
"Desktop & Mobile","Desktop & Mobile"
"Desktop Only","Desktop Only"
"Mobile Only","Mobile Only"
"Segment Rule","Segment Rule"
"For Customers in ANY selected segments","For Customers in ANY selected segments"
"For Customers in ALL selected segments","For Customers in ALL selected segments"
"Exclude Customers who are in ALL selected segments","Exclude Customers who are in ALL selected segments"
"Exclude Customers who are in ANY selected segments","Exclude Customers who are in ANY selected segments"
"User Agent","User Agent"
"User Agent Filter","User Agent Filter"
"Contains the expression above (if any)","Contains the expression above (if any)"
"Does not contain the expression above (if any)","Does not contain the expression above (if any)"
"Settings for %1","Settings for %1"
"Background Layer Opacity","Background Layer Opacity"
"Between 0 and 1 (decimals allowed, 1 fully opaque. 0 fully transparent), How opaque should de background page look like when the modal is displayed (not the actual floating %1)","Between 0 and 1 (decimals allowed, 1 fully opaque. 0 fully transparent), How opaque should de background page look like when the modal is displayed (not the actual floating %1)"
"Background Layer Color","Background Layer Color"
"Background Color for the back layer when the %1 is displayed.","Background Color for the back layer when the %1 is displayed."
"Content Background Color","Content Background Color"
"Background Color for the window that holds the content you added in the General Tab","Background Color for the window that holds the content you added in the General Tab"
"Content Background Image","Content Background Image"
"Border Thickness","Border Thickness"
"Thickness of the Border for the Wrapping layer where the %1 is displayed.","Thickness of the Border for the Wrapping layer where the %1 is displayed."
"Border Radius","Border Radius"
"Border Radius of the Wrapping layer where the %1 is displayed.","Border Radius of the Wrapping layer where the %1 is displayed."
"Border Color","Border Color"
"Border Color for the Wrapping layer when the %1 is displayed.","Border Color for the Wrapping layer when the %1 is displayed."
"Allow Close","Allow Close"
"If set to 'No', customers won't be able to close the %1","If set to 'No', customers won't be able to close the %1"
"Show Close Button","Show Close Button"
"Show Close Button? hint: add a css class to an HTML element with the name ""panda-popup_close"" to close the %1 with a click on that element","Show Close Button? hint: add a css class to an HTML element with the name ""panda-popup_close"" to close the %1 with a click on that element"
"Display After Scroll %","Display After Scroll %"
"After what % of the scrolling bar is moved down we show the %1? (0 to ignore)","After what % of the scrolling bar is moved down we show the %1? (0 to ignore)"
"Display After X Seconds","Display After X Seconds"
"After how many seconds the Visitor enters the page, should the %1 be displayed?","After how many seconds the Visitor enters the page, should the %1 be displayed?"
"Additional CSS Styles","Additional CSS Styles"
"To be applied to the %1 wrapper","To be applied to the %1 wrapper"
"Form Information","Form Information"
"Go to Campaign","Go to Campaign"
"Go to Campaigns Listing","Go to Campaigns Listing"
"Report Information","Report Information"
"Report Countries","Report Countries"
"Report Regions","Report Regions"
"Report Dates","Report Dates"
"Report Applications","Report Applications"
"Report Links","Report Links"
"Report Conversions","Report Conversions"
Subscribers,Subscribers
<-Var.,<-Var.
Conv.,Conv.
Amt.,Amt.
Senders,Senders
"Add SMS Sender","Add SMS Sender"
"Add Email Sender","Add Email Sender"
"Save Sender","Save Sender"
"Delete Sender","Delete Sender"
"Test Sender","Test Sender"
"Edit Sender '%1'","Edit Sender '%1'"
"New Sender","New Sender"
"Use a email domain name associated with your SMTP server, otherwise your email will most likely be considered SPAM","Use a email domain name associated with your SMTP server, otherwise your email will most likely be considered SPAM"
"Reply To","Reply To"
"Server Information","Server Information"
"Server Address","Server Address"
Username,Username
Password,Password
Port,Port
Authentication,Authentication
SSL,SSL
"Message Headers","Message Headers"
"Bounces Configuration","Bounces Configuration"
"Bounce Email Reception","Bounce Email Reception"
Gateway,Gateway
"New SMS gateway services are added per request. Please open a support ticket if you need one not listed above","New SMS gateway services are added per request. Please open a support ticket if you need one not listed above"
"Sender Information","Sender Information"
"Sender Type","Sender Type"
"Email Sender","Email Sender"
"A/B Campaigns","A/B Campaigns"
"New A/B Campaign","New A/B Campaign"
"New A/B Campaign. Test &raquo;","New A/B Campaign. Test &raquo;"
"Save A/B Campaign","Save A/B Campaign"
"Delete A/B Campaign","Delete A/B Campaign"
"Edit A/B Campaign '%1'","Edit A/B Campaign '%1'"
"Subject A","Subject A"
"Sender A","Sender A"
"Subject B","Subject B"
"Sender B","Sender B"
"Send General Campaign after X days","Send General Campaign after X days"
"Percentage Emails Send Test","Percentage Emails Send Test"
"How to determine winner","How to determine winner"
"Tag this A/B campaign with these tags","Tag this A/B campaign with these tags"
"If this A/B campaign should be sent to previous customers instead of current subscribers","If this A/B campaign should be sent to previous customers instead of current subscribers"
"The maximum number of emails to send for this general campaign (test campaign not included)","The maximum number of emails to send for this general campaign (test campaign not included)"
"A/B Campaign Information","A/B Campaign Information"
"Testing Options","Testing Options"
"Test Send At","Test Send At"
"General Send At","General Send At"
"Views A","Views A"
"Views B","Views B"
"Clicks A","Clicks A"
"Clicks B","Clicks B"
"Conversions A ","Conversions A "
"Conversions B","Conversions B"
Winner,Winner
"New Subscriber","New Subscriber"
"Save Subscriber","Save Subscriber"
"Delete Subscriber","Delete Subscriber"
"Edit Subscriber '%1'","Edit Subscriber '%1'"
"Sender name","Sender name"
"Sender Email","Sender Email"
Code,Code
Cellphone,Cellphone
"Please use the format: countryCode-number. Eg: 1-555555555","Please use the format: countryCode-number. Eg: 1-555555555"
Subscribed,Subscribed
Unsubscribed,Unsubscribed
"Not Active","Not Active"
"Not Confirmed","Not Confirmed"
"First Name","First Name"
"Last Name","Last Name"
"Assign to Segments","Assign to Segments"
"Tag this subscriber with theses tags","Tag this subscriber with theses tags"
"Previous Customer","Previous Customer"
"If this subscriber should receive communications intended for previous customers","If this subscriber should receive communications intended for previous customers"
"Form Name","Form Name"
Entries,Entries
"Subscriber Information","Subscriber Information"
"Emails Sent","Emails Sent"
"SMS Sent","SMS Sent"
Forms,Forms
Bounces,Bounces
Unsubscribe,Unsubscribe
Subscribe,Subscribe
"Request Support","Request Support"
Support,Support
"Bug Report","Bug Report"
Request,Request
"Other Information","Other Information"
"Contact Reason","Contact Reason"
"Attach Debug Information","Attach Debug Information"
"Please be as descriptive as possible","Please be as descriptive as possible"
"Contact Support","Contact Support"
"Debug Information","Debug Information"
Import,Import
"Test Now","Test Now"
"Save Tag","Save Tag"
"Delete Tag","Delete Tag"
"Edit Tag '%1'","Edit Tag '%1'"
"New Tag","New Tag"
"Is Active","Is Active"
"Tags Information","Tags Information"
"Tag Name","Tag Name"
Templates,Templates
"New Message Template","New Message Template"
"Design Templates","Design Templates"
"Save Template","Save Template"
"Delete Template","Delete Template"
"Add Variation","Add Variation"
"Save and Send Test Emails","Save and Send Test Emails"
"Variation of ","Variation of "
"Edit Message Template '%1'","Edit Message Template '%1'"
"Send test Emails to","Send test Emails to"
"Only used when testing this template. Separate multiple emails with a comma","Only used when testing this template. Separate multiple emails with a comma"
"Only used when testing this template","Only used when testing this template"
"Can be changed when adding campaigns","Can be changed when adding campaigns"
Gender,Gender
Male,Male
Female,Female
"Not Specified","Not Specified"
Age,Age
"Template Information","Template Information"
"Template Variation","Template Variation"
"From Campaign","From Campaign"
Variations,Variations
"New Design Template","New Design Template"
"Message Templates","Message Templates"
"New Store View Variation","New Store View Variation"
"Edit Design Template '%1'","Edit Design Template '%1'"
"Send Test Emails to","Send Test Emails to"
"Template Styles","Template Styles"
"Please make sure you add the {MESSAGE} tag, so it can be replaced by the campaign message or the message template","Please make sure you add the {MESSAGE} tag, so it can be replaced by the campaign message or the message template"
"Store Views Variations","Store Views Variations"
URLs,URLs
"Visit time","Visit time"
"Attributes Removed. You can now uninstall the extension","Attributes Removed. You can now uninstall the extension"
"Something went wrong while removing attributes.","Something went wrong while removing attributes."
"You deleted the Autoresponder.","You deleted the Autoresponder."
"Something went wrong while deleting the Autoresponder.","Something went wrong while deleting the Autoresponder."
"We can't find an Autoresponder to delete.","We can't find an Autoresponder to delete."
"Sales Automation","Sales Automation"
"Manage Autoresponders","Manage Autoresponders"
"This Autoresponder no longer exists.","This Autoresponder no longer exists."
"Edit Autoresponder","Edit Autoresponder"
"New Autoresponder - %1","New Autoresponder - %1"
Autoresponders,Autoresponders
"You haven't added any Sender. You won't be able to create Autoresponders without Senders","You haven't added any Sender. You won't be able to create Autoresponders without Senders"
"You haven't added any Template. You won't be able to create Autoresponders without Templates","You haven't added any Template. You won't be able to create Autoresponders without Templates"
"Cannot load product with SKU %1","Cannot load product with SKU %1"
"Please select one/multiple categories or add Products SKU(s)","Please select one/multiple categories or add Products SKU(s)"
"You saved the Autoresponder.","You saved the Autoresponder."
"Something went wrong while saving the Autoresponder. Check the error log for more information.","Something went wrong while saving the Autoresponder. Check the error log for more information."
"The campaign has been canceled.","The campaign has been canceled."
"Something went wrong while cancelling the campaign.","Something went wrong while cancelling the campaign."
"Unable to find a campaign to cancel.","Unable to find a campaign to cancel."
"You deleted the Campaign.","You deleted the Campaign."
"Something went wrong while deleting the campaign.","Something went wrong while deleting the campaign."
"We can't find an campaign to delete.","We can't find an campaign to delete."
"You have duplicated the Campaign.","You have duplicated the Campaign."
"Something went wrong while duplicating the campaign.","Something went wrong while duplicating the campaign."
"We can't find an campaign to duplicate.","We can't find an campaign to duplicate."
"Manage Campaigns","Manage Campaigns"
"This Campaign no longer exists.","This Campaign no longer exists."
"This campaign is now closed. You can't modify it. Click on 'Duplicate & Save' to duplicate and edit it.","This campaign is now closed. You can't modify it. Click on 'Duplicate & Save' to duplicate and edit it."
"Edit Campaign","Edit Campaign"
"You haven't added any Sender. You won't be able to create campaigns without Senders","You haven't added any Sender. You won't be able to create campaigns without Senders"
"You haven't added any %1 Sender. You won't be able to create campaigns without %1 Senders","You haven't added any %1 Sender. You won't be able to create campaigns without %1 Senders"
"The campaign has been %1.","The campaign has been %1."
"Something went wrong while %1 the campaign.","Something went wrong while %1 the campaign."
"Unable to find a campaign to %1.","Unable to find a campaign to %1."
"Can't preview templates with widgets","Can't preview templates with widgets"
"Please select one or more messages.","Please select one or more messages."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"Something went wrong while deleting the queue.","Something went wrong while deleting the queue."
"This campaign no longer exists.","This campaign no longer exists."
"Invalid date in Deploy At","Invalid date in Deploy At"
"Invalid date in Recurring","Invalid date in Recurring"
"Invalid URL","Invalid URL"
"Cannot fetch URL content","Cannot fetch URL content"
"Predicted Campaign Recipients: %1.","Predicted Campaign Recipients: %1."
"Please be advise: There are no recipients expected to receive this campaign.","Please be advise: There are no recipients expected to receive this campaign."
"'The campaign has been duplicated. You are now working on the duplicated one.' .","'The campaign has been duplicated. You are now working on the duplicated one.' ."
"The campaign has been saved.","The campaign has been saved."
"Something went wrong while saving the campaign. Check the error log for more information.","Something went wrong while saving the campaign. Check the error log for more information."
"Campaign deployment initiated...","Campaign deployment initiated..."
"Something went wrong while deploying the campaign.","Something went wrong while deploying the campaign."
"Unable to find a campaign to send.","Unable to find a campaign to send."
"Something went wrong while deleting the items.","Something went wrong while deleting the items."
"Please select one or more events.","Please select one or more events."
"Something went wrong while deleting the events.","Something went wrong while deleting the events."
Issues,Issues
Exceptions,Exceptions
"You deleted the Extra Field.","You deleted the Extra Field."
"Something went wrong while deleting the Extra Field.","Something went wrong while deleting the Extra Field."
"We can't find an Extra Field to delete.","We can't find an Extra Field to delete."
"Manage Extra Fields","Manage Extra Fields"
"This Extra Field no longer exists.","This Extra Field no longer exists."
"Edit Extra Field","Edit Extra Field"
"You saved the Extra Field.","You saved the Extra Field."
"Something went wrong while saving the Extra Field. Check the error log for more information.","Something went wrong while saving the Extra Field. Check the error log for more information."
"You deleted the Follow Up.","You deleted the Follow Up."
"Something went wrong while deleting the Follow Up.","Something went wrong while deleting the Follow Up."
"We can't find an Follow Up to delete.","We can't find an Follow Up to delete."
"Manage Follow Ups","Manage Follow Ups"
"This Followup no longer exists.","This Followup no longer exists."
"Edit Followup","Edit Followup"
"New Follow Up","New Follow Up"
"This Follow Up no longer exists.","This Follow Up no longer exists."
"Follow Up not found","Follow Up not found"
"You can't create Follow Ups for recurring campaigns. Follow Up is inactive.","You can't create Follow Ups for recurring campaigns. Follow Up is inactive."
"Predicted Campaign Recipients: %1.2","Predicted Campaign Recipients: %1.2"
"'You saved the Follow Up.' .","'You saved the Follow Up.' ."
"You deleted the Goal.","You deleted the Goal."
"Something went wrong while deleting the goal.","Something went wrong while deleting the goal."
"We can't find an Goal to delete.","We can't find an Goal to delete."
"Manage Goals","Manage Goals"
"This Goal no longer exists.","This Goal no longer exists."
"Edit Goal","Edit Goal"
"Goals current values Updated","Goals current values Updated"
"The start date cannot be earlier than today. Date changed","The start date cannot be earlier than today. Date changed"
"You saved the Goal.","You saved the Goal."
"Something went wrong while saving the goal. Check the error log for more information.","Something went wrong while saving the goal. Check the error log for more information."
"Cookie Code reseted.","Cookie Code reseted."
"Something went wrong while resetting the code from the %1","Something went wrong while resetting the code from the %1"
"We can't find an %1 to reset the code.","We can't find an %1 to reset the code."
". ' removed.'",". ' removed.'"
"Something went wrong while deleting the %1.","Something went wrong while deleting the %1."
"We can't find an %1 to delete.","We can't find an %1 to delete."
"Manage Floating Windows","Manage Floating Windows"
"This %1 no longer exists.","This %1 no longer exists."
"Edit %1","Edit %1"
"Display Windows","Display Windows"
"You saved the %1.","You saved the %1."
"Something went wrong while saving the %1. Check the error log for more information.","Something went wrong while saving the %1. Check the error log for more information."
"Campaign does not exist","Campaign does not exist"
"No messages have been sent yet from this campaign.","No messages have been sent yet from this campaign."
"Campaign Report for %1","Campaign Report for %1"
"You deleted the sender.","You deleted the sender."
"Something went wrong while deleting the Sender.","Something went wrong while deleting the Sender."
"We can't find a sender to delete.","We can't find a sender to delete."
"Manage Senders","Manage Senders"
"This subscriber no longer exists.","This subscriber no longer exists."
"Edit Sender","Edit Sender"
"This sender no longer exists.","This sender no longer exists."
"You saved the sender.","You saved the sender."
"Something went wrong while saving the Sender. Check the error log for more information.","Something went wrong while saving the Sender. Check the error log for more information."
"Senders synced","Senders synced"
"Something went wrong while syncing senders: %1","Something went wrong while syncing senders: %1"
"Something went wrong while testing the Sender.","Something went wrong while testing the Sender."
"We can't find a sender to test.","We can't find a sender to test."
"You deleted the A/B Campaign.","You deleted the A/B Campaign."
"Something went wrong while deleting the A/B Campaign.","Something went wrong while deleting the A/B Campaign."
"We can't find an A/B Campaign to delete.","We can't find an A/B Campaign to delete."
"Manage A/B Campaigns","Manage A/B Campaigns"
"This A/B Campaign no longer exists.","This A/B Campaign no longer exists."
"This A/B Campaign is running...","This A/B Campaign is running..."
"This A/B Campaign is closed...","This A/B Campaign is closed..."
"Edit A/B Campaign","Edit A/B Campaign"
"Invalid date in Deploy Field","Invalid date in Deploy Field"
"Your Send Date cannot be earlier than now.","Your Send Date cannot be earlier than now."
"Predicted Campaign Recipients: %1","Predicted Campaign Recipients: %1"
"'You saved the A/B Campaign.' .","'You saved the A/B Campaign.' ."
"Something went wrong while saving the A/B Campaign. Check the error log for more information.","Something went wrong while saving the A/B Campaign. Check the error log for more information."
"Invalid Version","Invalid Version"
"Unable to find A/B Campaign","Unable to find A/B Campaign"
"Unable to perform action. Please verify all requisites","Unable to perform action. Please verify all requisites"
"Something went wrong while sending the A/B Campaign.","Something went wrong while sending the A/B Campaign."
"You deleted the subscriber.","You deleted the subscriber."
"Something went wrong while deleting the Subscriber.","Something went wrong while deleting the Subscriber."
"We can't find an subscriber to delete.","We can't find an subscriber to delete."
"Manage Subscribers","Manage Subscribers"
"Subscriber Management has been disabled in Configuration","Subscriber Management has been disabled in Configuration"
